Case Study Id,Institution,Unit of Assessment,Title,Summary of the impact
3551,"
    Cardiff University
    ",Law,"
    Putting carers on the legal map
    ","
    The law regulating social care services for disabled and elderly adults,
      and their carers, had been unreformed for over 60 years. Reform had been
      inhibited by the law's complexity, the rapid growth in community
      dependency (due to deinstitutionalisation and the growth in the numbers of
      elderly people) and the lack of political consensus on the direction
      reform should take. Fundamental demographic and societal change over the
      last 20 years has made the failure of the legislation to address the
      support needs of unpaid carers and those for whom they care an even more
      pressing issue. As a result of a sustained period of research, academic
      publication and Parliamentary action by Clements, this area of law is now
      being reformed. Both the Westminster Parliament and the National Assembly
      in Wales have been scrutinising Public Bills (the Care Bill 2013 in
      England and, in Wales, the Social Services and Well-being (Wales) Bill
      2013). Despite significant social policy research on this fundamental
      issue, Clements was almost alone in highlighting the legal dimensions. He
      thereby ____made a major contribution to public discourse on this question and
      played a key role in bringing about legal change.
    "
3553,"
    Cardiff University
    ",Law,"
    Regulating nanotechnology: shaping government strategy and industry
        standards
    ","
    Nanotechnology is one of the world's fastest developing industrial
      sectors; as well as the economic significance of nanomaterials, they have
      potentially serious implications for health and the environment. Impact
      from research on governance and legal regulation of nanotechnology by a
      Cardiff Law School research team operating within the ESRC-Centre for
      Business Relationships, Accountability, Sustainability and Society (BRASS)
      ____has: shaped UK government nanotech strategy; decisively influenced
      industry and industrial standards; and reached across other States and
      international organisations. Research by the team has: demonstrated that
      existing regulation dealt poorly with nanotechnologies and the
      health/environmental risks they might pose; identified regulatory gaps;
      recommended the introduction of nano-specific guidance/standards;
      evaluated the need for a nanotech moratorium; and analysed social
      responsibility and performance of nanotechnology companies. This research
      has now been codified in the first British Standards Institution (BSI)
      Publicly Available Specification (PAS) on nanotechnology.
    "
3581,"
    Cardiff University
    ",English Language and Literature,"
    Improving the effectiveness of police communication with the public in
        South Wales. [Bold: REF guideline text; Bold italic/italic:
      emphasis; Superscript: refs to &#167; 3 and 5]
    ","
    Rock researches the comprehensibility and effect on readers and hearers
      of police language. She has deployed this research in a long-term
      collaboration with South Wales Police (SWP) and their associated agencies,
      such as trainers and interpreters. Rock has used her research findings to
      offer tailor-made solutions to a range of specific problems that SWP have
      identified in their communications with the public. So as to build
      capacity rather than creating long-term dependency, she places strong
      emphasis on acquainting the in-house staff sufficiently with her research
      to enable them to understand the potential options available, and to
      contribute to developing the best outcomes. Her interventions focus on
      written and spoken communications with the public relating to complaints,
      victim care, interviewing and interpreting. Outcomes have been major
      ____revisions to texts and permanent modifications to individual and
      organisational practices.
    "
3582,"
    Cardiff University
    ",English Language and Literature,"
    Improving HIV/AIDS education and support in KwaZulu-Natal through
        comics drawing
    ","
      Building on research by El Refaie on autobiographical comics, visual
      metaphor and teenagers' response to cartoons, and on research by Sarangi
      into communicating HIV risk, comics drawing workshops were designed for
      use with teenagers who had, or were at risk of, HIV/AIDS. Run at the
      Whizzkids United Health Academy in South Africa, the workshops helped the
      teenagers create their own comics stories, enabling them to express their
      feelings and explore different possible solutions to scenarios from their
      life experiences. Teenagers who were HIV+ ____spoke for the first time about
      their problems, sharing their concerns with each other and with Health
      Academy counsellors. A booklet of the best comics was distributed to
      teenagers in Edendale and via the Whizzkids United website.
    
    
    
    "
3585,"
    Cardiff University
    ",Philosophy,"
    Enabling critical engagement with academic research in A-level
        Philosophy
    ","
    A booklet was produced to address a problem identified by A-level
      teachers of Philosophy. They had reported that while independent critical
      engagement is strongly emphasised in the A-level Philosophy marking
      criteria, the available teaching materials do not foster this skill. The
      booklet contains essays summarising research papers from three members of
      the Unit that represent opposing views of Nietzsche's critique of
      morality. Through questions and puzzles, students are able to compare the
      claims and take up critical positions. The booklet has contributed a new
      type of educational material for ____developing critical thinking in A-level
      Philosophy and has been used in the UK and overseas.
    "
3653,"
    Cardiff University
    ","Communication, Cultural and Media Studies, Library and Information Management ","
    Improving decision-making about treatment for people in vegetative and
      minimally conscious states
    ","
    This research stimulated debate about the treatment of people in
      vegetative and minimally conscious states, created new cultural
      representations and informed interventions to enhance decision-making
      processes. Professor Jenny Kitzinger [JK], the lead researcher,
      was invited onto the Royal College of Physicians' Working Party revising
      the College's treatment and communication guidelines. The research
      generated intense engagement from key stakeholders (e.g. medical and
      policy experts), prompted changes in thinking among clinicians and
      ____informed new training and support materials for both clinicians and
      families. The findings also ____enriched public discussion about this highly
      contentious area of medicine and ethics e.g. through a series of
      media/cultural interventions and through community engagement events which
      had a documented impact on participants' knowledge and feelings.
    "
3669,"
    Cardiff University
    ","Allied Health Professions, Dentistry, Nursing and Pharmacy","
    Shaping government policy on violence prevention
    ","
    Research from the Violence and Society Research Group at Cardiff
      University has led directly to the development of a pioneering
      multi-agency data-sharing model for violence prevention that ____uses hospital
      Emergency Unit data. Results from implementation of the data-sharing model
      demonstrate ____decreases in violence. This success has encouraged
      international ____adoption in addition to the UK coalition government national
      commitment to implement the approach UK-wide.
    "
3680,"
University of Oxford
",Sociology,"
Strengthening government policy on community cohesion in England
and Wales
","
Increasing immigration, the rise of the British National Party, and the London bombings put social
cohesion firmly on the policy agenda. James Laurence and Anthony Heath's research (2008) on
the predictors of social cohesion provided the key empirical foundation for policies ____implemented by
the Department for Communities and Local Government from 2008 onwards. These policies in turn
____impacted the practices of local authorities in a variety of domains, including the allocation of social
housing and the funding of community projects. The research was also ____cited by a number of
organizations beyond government in their policy documents, from the Equality and Human Rights
Commission to consultancies such as Ipsos MORI.
"
3681,"
    University of Oxford
    ",Politics and International Studies,"
    Individualizing Responsibility in War: Shaping Military Ethics in Western
      Militaries (21-02)
    ","
    In the last decade, the traditional view of military ethics among
      practitioners and scholars has been challenged by revisionist approaches
      to Just War Theory. David Rodin's work has played a significant
      part in the development of the revisionist school and in its subsequent
      impacts on Western militaries. His research on individual responsibility
      in war, the limitations of traditional justifications of war, and jus
        terminatio (the ethical norms applicable to the termination of war)
      has - as part of the revisionist school - opened up new approaches to
      military ethics and the way militaries understand their rights and
      responsibilities and those of others in war. Rodin's research has had
      significant impact in ____re-shaping training on ethics for military personnel
      and senior civil servants in the US, UK and beyond, and is ____informing
      changes in the doctrine and practice of Western militaries.
    "
3682,"
    University of Oxford
    ",Politics and International Studies,"
    Responding effectively to the changing character of conflict (21-01)
    ","
    Professor Roberts' research insights into the changing character of
      conflict and the laws of war
      ____have informed national and international policy. They ____have shaped (i)
      initiatives to reform US and
      UK military training, official manuals and directives on the laws of war;
      (ii) improvements to UK
      detention policies and practices; (iii) the House of Commons Foreign
      Affairs Committee's
      conclusion that the UK's aims in Afghanistan should be re-focussed; (iv)
      the International Red
      Cross' view of the legal issues affecting their role in contemporary forms
      of occupation; and (v) UN
      assessments of the legal standing of UN forces in particular deployments.
    "
3684,"
    Middlesex University
    ","Psychology, Psychiatry and Neuroscience","
    Supporting people with dyslexia in Iran and the UK
    ","
    Research in dyslexia carried out within the Unit ____has had impacts on
      practitioners and services in education, health and welfare. Pioneering
      research by Dr Bahman Baluch and Dr Maryam Danaye-Tousi (University of
      Guilan, Iran) on Farsi, and the relationship between orthography and the
      process of learning to read, ____has made a significant contribution to the
      ways in which reading is taught in Iran throughout the curriculum.
      Research on a common underlying deficit in dyslexia by Dr Nicola
      Brunswick, which lead to her appointment as Trustee of the British
      Dyslexia Association (BDA), ____has helped improve services for people with
      dyslexia in the UK.
    "
3685,"
    University of Oxford
    ",Anthropology and Development Studies,"
    Guiding the Governance of Climate Geoengineering RD&amp;D, Using the
      Oxford Principles
    ","
    A decade of social science research on emerging technologies carried out
      and/or directed by Oxford researchers at InSIS (Institute for Science,
      Innovation and Society) provided the basis for the Oxford Principles for
      the Governance of Geoengineering Research. These Principles ____were endorsed
      by the House of Commons Science and Technology (S&amp;T) Committee in 2010
      and were subsequently accepted by the UK Government in its official
      response to the Committee's report - meaning that appropriate governance
      arrangements are now a necessary precondition for responsible research,
      development, and demonstration (RD&amp;D) of geoengineering. The
      Principles have also been ____""generally endorsed"" by the international
      geoengineering research community in its efforts to ensure responsible
      conduct in the controversial emerging area of environmental technology.
    "
3692,"
    University of Oxford
    ",Business and Management Studies,"
    Healthcare Assistants and the Modernisation of the Nursing Workforce
    ","
    Research at Oxford has played a central role within the recent
      restructuring of the nursing workforce to improve healthcare quality in a
      context of growing service demands and tightening resource constraints.
      Much of this restructuring has been heavily dependent on the use of the
      Healthcare Assistant (HCA) role, provoking much controversy. Presented as
      a flexible, low cost resource, these HCA roles are also unregulated and
      therefore seen as a potential source of patient risk. Oxford researchers
      have fed into this debate across a number of projects, strengthening the
      evidence base on the nature and consequences of the HCA role. Examining
      the role from the perspective of different stakeholders, these projects
      ____have impacted on national, regional and local policy and practice centred
      on the management and use of HCAs. In so doing, the research has
      contributed to the development of a more productive and safer nursing
      workforce.
    "
3697,"
    University of Oxford, Department of Social Policy and Intervention
    ",Social Work and Social Policy,"
    Improving evidence-based policy and programming for AIDS-affected
      children
      in Sub-Saharan Africa
    ","
    Since 2005, a pioneering set of Oxford University studies has actively
      informed the development of
      evidence-based policy, practice, and programming for AIDS-affected children
      in Sub-Saharan
      Africa (totalling an estimated 85 million children, orphaned by HIV/AIDS
      or living with AIDS-ill
      caregivers). Key ____impacts include new policies: on psychosocial support; on
      `young carers' of AIDS-sick
      parents as well as orphans; and on child abuse prevention for
      AIDS-affected families. These
      are based on Oxford findings that revealed major effects of parental AIDS
      on children's
      psychological, educational and sexual health. Crucially, the research has
      also identified modifiable
      pathways of risk and resilience that have been used to guide
      interventions. As a result, studies are
      extensively ____cited in policy documents of the South African government, US
      President's Emergency
      Fund for AIDS Relief (PEPFAR-USAID), UNICEF and Save the Children, and
      have been used to
      train over 10,000 health and community staff and to develop programmes
      reaching millions of
      children throughout the region.
    "
3698,"
    University of Oxford
    ",Anthropology and Development Studies,"
    Using the `horizontal inequalities' concept to improve development policy
      in fragile states
    ","
    Research at Oxford funded by the UK Department for International
      Development (DFID) showed that countries with highly unequal resource
      distribution between culturally defined groups (`horizontal inequality')
      are more likely to experience conflict. This key insight ____contributed to
      changes in: DFID strategy towards conflict-affected areas; UNDP policy on
      post-conflict reconstruction; the work of the World Bank towards conflict;
      and OECD guidance on state-building in fragile states. The research also
      made a ____contribution to national policy discussions in a number of
      developing countries, including Nepal, Malaysia and Kenya.
    "
3702,"
    University of Oxford
    ",Philosophy,"
    Informing Public Policy and Practice Concerning The Scope and Limits of
      Responsibility
    ","
    For several years, members of the Uehiro Centre for Practical Ethics have
      been engaged in research on the scope and limits of responsibility, with a
      particular focus on conditions that seem to subvert responsibility, such
      as addiction. This research ____has had a significant impact on public
      policy 8212; most notably through Dr Hanna Pickard's invitation by the
      Department of Health and the Ministry of Justice to ____develop a module for
      prison staff training, but also through a report of the House of Lords
      Science and Technology Select Committee in which evidence given by Dr
      Bennett Foddy ____was cited and through a document prepared for the Technical
      Development Group of the World Health Organisation, in which work by Dr
      Bennett Foddy and Julian Savulescu was cited. The research has also
      ____generated active blog discussions with members of the public.
    "
3707,"
    University of Oxford
    ",History,"
    Rethinking National Defence Strategy for the Twenty-First Century
    ","
    Key questions face Western military establishments and governments
      concerning the likely form of
      future defence needs and, consequently, the size and shape of their armed
      forces. Following
      dashed hopes of a long-term `peace dividend' after the collapse of the
      USSR, came recognition
      that defence remained a fundamental concern, but that military needs might
      be manifested in
      different ways. The debate about a `war on terrorism' post-9/11 further
      intensified questions about
      the nature of future conflict. Through his research on strategy, and his
      guiding role in the Oxford
      ""Changing Character of War"" programme, Sir Hew Strachan, Chichele
      Professor of the History of
      War (since 2002), ____has made a major contribution to these debates and has
      helped to ____shape
      military policy making in the UK and the USA.
    "
3708,"
    The University of Oxford
    ",Area Studies,"
    Promoting free and fair elections and democratization in Africa
    ","
    Dr Nic Cheeseman's research ____has informed and influenced electoral
      practices in Kenya and
      Zambia. In Kenya, his work ____shaped the findings of the official Kreigler
      Commission, whose report
      on the controversial elections of 2007 led to the restructuring of the
      electoral commission. In
      Zambia, his advice ____led the UK Department for International Development
      (DfID) to include
      parliamentary scorecards and the training constituency based officers of
      the National Assembly as
      part of its democracy promotion activities for the first time, and
      resulted in the World Bank adopting
      a more flexible Country Partnership Strategy. Dr Cheeseman also ____influenced
      the way in which
      policy makers prepared for and responded to electoral crises, establishing
      an innovative academic
      `Early Warning and Long-term Monitoring Team' to support the work of the
      UK government around
      the 2013 Kenyan elections. His advice ____enabled representatives of the UK to
      identify potential new
      sites of violence and to increase the pressure on the electoral commission
      to better communicate
      electoral procedures to the public, which contributed, albeit in a small
      way, to a peaceful election.
    "
3711,"
    University of Oxford
    ",English Language and Literature,"
    Informing Public Debate about Language and Gender
    ","
    Deborah Cameron's research focuses on the relationship between gender and
      language, using sociolinguistic evidence and contemporary theories of
      gender and identity to examine and challenge widespread beliefs about the
      differing verbal abilities and behaviour of men and women. Through
      broadcasting, public speaking and engagement with non-academic
      professional groups, including secondary school English teachers, Cameron
      communicates the results of her (and others') research to a broad audience
      in Britain and internationally. She ____has raised awareness of
      sociolinguistic approaches to gender, has provided resources for
      professionals concerned with issues of equality and diversity, and has
      contributed to the public understanding of science.
    "
3714,"
    University of Oxford
    ",Anthropology and Development Studies,"
    Multidimensional poverty measurement improves policy-making
    ","
    Poor people define poverty to include a simultaneous lack of education,
      health, housing, employment and income, among other factors. Recognising
      this, Sabina Alkire and James Foster developed an axiomatic methodology of
      measurement that incorporates multiple dimensions of poverty &#8212; the Alkire
      Foster method (AF). The AF method provides a robust, `open-source'
      measurement tool for policy-making. One key ____impact is an AF index covering
      100+ countries, published annually in the UNDP's Human Development
        Reports. Another is national ____adoption by three governments and a
      multidimensional poverty peer network of 22 governments and agencies. The
      AF method is also ____incorporated into other internationally recognised
      well-being measures such as USAID's 19-country Women's Empowerment in
      Agriculture Index, and Bhutan's Gross National Happiness index.
    "
3880,"
    Nottingham Trent University
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Informing the use of beta-alanine supplementation for performance
        enhancement.
    ","
    Research from the Unit has demonstrated a positive effect of the amino
      acid beta-alanine on exercise performance and capacity, which ____has informed
      best practice on its use by elite athletes, athletic individuals and the
      general population. In addition, this research has allowed performance
      nutritionists and exercise physiologists access to research that affords
      them the ability to follow an evidence based practice approach with their
      clients. Our research has contributed to the increased worldwide use of
      beta-alanine as a dietary supplement to ____enhance sport and exercise
      performance.
    "
3894,"
    Plymouth University
    ",Education,"
    Sexting and Websex by UK children and young people
    ","
    This case study demonstrates the impact generated through research
      studies at Plymouth University into `sexting', the self-generation and
      distribution of explicit images, by children and young people. The
      findings ____have informed briefing material for Ofsted inspectors, been used
      to develop material for schools, and led to schools developing new
      curriculum based support and peer mentoring. The research has also
      extended the understanding of the emerging issues and helped ____inform
      national debate and public discourse.
    "
3899,"
    University of Greenwich
    ",Modern Languages and Linguistics,"
    Bringing the benefits of grammar knowledge closer to L2 practitioners
    ","
    The research focuses on the second language acquisition (SLA) of tense
      and aspect, which are persistently problematic areas of grammar for
      language students to master. It has led to the development and delivery of
      workshops for language teachers which deliver three impacts:
    
      an enhanced knowledge of the linguistic properties of tense and
        aspect;
      an understanding of the reasons underlying learners' difficulties;
      the consideration of effective pedagogical techniques in grammar
        teaching.
    
    The teachers' ____improved confidence and skills lead to greater motivation
      and engagement by their students, delivering the main impacts which are
      ____improvements in education and the learning of second languages.
    "
3904,"
    The University of Oxford
    ",Clinical Medicine,"
    EXPOSING A MURDEROUS TRADE
    ","
    With over half a million malaria-related deaths every year, the existence
      of counterfeit antimalarial
      medication continues to have a devastating effect on malaria-related
      mortality and morbidity on a
      global scale. Primary investigations into this murderous trade, led by Dr
      Paul Newton at the
      University of Oxford's Centre for Tropical Medicine, have prompted
      criminal investigations, drug
      trafficking arrests, ____intervention from the World Health Organization, and
      have also led to the
      establishment of new screening facilities and mobile screening technology
      in affected areas. This
      research, and the interventions it has fuelled will save thousands of
      lives.
    "
3905,"
    University of Greenwich
    ",Law,"
    Legal Education: Strategies for Learning and Teaching
    ","
    
      New methodology for researching and teaching human rights law and
        empirical research used in biosecurity law
      Pioneering a human rights model of disability through an international
        project leading to development of strategies for monitoring law and
        training future legal practitioners in disability rights
      Developing a model for pro bono undergraduate research projects in the
        local community
      A student feedback guide and model adaptable across disciplines which
        has been referred to in law schools
      New visual teaching aids - accessed by the global law tutor and legal
        education market
      An innovative use of mobile phone voting technology.
    
    "
3909,"
    University of Greenwich
    ",Education,"
    The HE sector: organisation cultures and management; Research Quality
      Assessment.
    ","
    McNay's work is at the boundaries between HEIs and their environment:
      policy analysis,
      particularly of Access and, here, Research Quality Assessment, and the
      impact on internal
      strategies; and organisational analysis and the way internal cultures and
      processes are
      conditioned by external influences. His conceptual model of cultures is
      used by professionals
      worldwide to evaluate and improve leadership and management and introduce
      change. RAE
      impact analysis has ____influenced policy (eg on the teaching /research nexus)
      in the UK and
      elsewhere) and staff behaviour. It was a factor leading to adjustment of
      later exercises towards
      profiling, consistency of criteria and impact
    "
3912,"
    University of Greenwich
    ","Allied Health Professions, Dentistry, Nursing and Pharmacy","
    Improving Policy and Practice in Relation to Young Women's Sexual Health
    ","
    This case study is based on two areas of research, both focused on young
      women's sexual health, conducted by Hoggart and Newton between 2009 and
      2013. The first concerns abortion, and the second concerns long-acting
      reversible contraception (hereafter LARC). The research has had the
      following impacts: ____sexual health policy has been influenced; the delivery
      of sexual health service ____has changed; guidelines ____have been informed;
      practitioners ____have used the research findings; new clinical processes ____have
      been adopted; professional training ____has been influenced by the research;
      and industry ____has invested in research.
    "
3925,"
    University of Greenwich
    ","Architecture, Built Environment and Planning","
    Climate Change Mitigation in the Built Environment
    ","
    Research carried out at the University of Greenwich has explored issues
      surrounding sustainable living and climate change mitigation in existing
      buildings. The research identified the relationships between people and
      the built environment and developed a series of behavioural interventions
      to inform building users of the energy they were consuming and provide
      guidance on how this could be reduced. The socio-technical relationships
      were used in a public engagement programme to promote debate amongst the
      over-65s and the interventions by Registered Social Landlords to support
      behaviour change and reduce energy consumption in domestic buildings. The
      outputs have also been used to ____inform Social Housing policy development.
    "
3927,"
    University of Greenwich
    ",Business and Management Studies,"
    Establishing social services work as a strategic priority: the case of
      the European Federation of Public Sector Unions (EPSU)
    ","
    Europe needs better social services as its population ages. However, low
      pay and status are making recruitment and retention difficult. EU public
      procurement rules are transferring services to the private and
      not-for-profit sectors where there is limited scope for effective social
      dialogue. Jane Lethbridge's research has led EPSU affiliates to understand
      the trends and realise the importance of European-level action. This
      awareness ____informed EPSU's 2009 Congress decisions, which prioritised
      future social services social dialogue work. By 2012, EPSU had started to
      discuss how to support an EU Sectoral Social Dialogue Committee where it
      will be the trade union social partner.
    "
3934,"
    University of Greenwich
    ",Education,"
    Strengthening poetry teaching in primary schools
    ","
    This research has revealed obstacles to effective teaching of poetry in
      primary schools including isolating poetry in the curriculum; the mystique
      that poetry must be a teacher's hobby before they can teach; and lack of
      teachers' development opportunities. Leading Poetry has changed
      the practice of primary teachers and teacher trainers locally, nationally
      and internationally by:
    
      Influencing teachers' practice on a further professional development
        project: they were assigned to influence the practice of colleagues in
        their schools, and in schools and teacher training provider centres
        nationally and internationally.
      ____Enriching the practice of teachers in 17 schools in Kent.
    
    "
3935,"
    University of Greenwich
    ",English Language and Literature,"
    Shakespeare in Hong Kong
    ","
    In collaboration with the HK Education Bureau, the British Council,
      theatre practitioners, teachers and school pupils and answering to their
      needs, Shakespeare in Hong Kong examined the current role and
      reception of the world's most studied author in order to reconfigure his
      work as a site for the debate of issues facing the people of Hong Kong
      today, thereby opening it to intercultural dialogue. The project ____induced
      policy change in the British Council's Shakespeare World Wide Classroom
      project as well as with the Hong Kong Education Bureau, influencing
      curriculum and informing cultural content regarding race, gender,
      sexuality, class and colonialism.
    "
3937,"
    University of Greenwich
    ",History,"
    Running the River Thames: Benefits to the Stakeholders
    ","
    The research has ____raised awareness amongst stakeholders of how governance
      of the river Thames has changed since 1960, the impact on the environment
      and on public participation. It has benefited key current stakeholders:
    
       Museum of London Docklands, by publicising its archives and providing
        administrative histories;
       Port of London Authority, by providing expert witness evidence;
       Environment Agency (EA), by contributing to the 'Challenges and
        Choices' consultation and extending its reach within academia;
       environmental activists and community organisations, by stimulating
        debate and providing platforms for discussion;
       the general public, by actively promoting awareness of issues
        surrounding the river Thames and its management.
    
    "
3938,"
    University of Greenwich
    ","Art and Design: History, Practice and Theory","
    Rebound Project
    ","
    REBOUND is an interactive, media-based drug prevention programme targeted
      at young people in Europe. Researchers at the University of Greenwich
      worked with young people to redesign the curriculum and materials for a
      British audience and produce a series of short educational films which are
      being used in the programme's resilience training. Preliminary results
      show a ____reduction in drug and alcohol harm amongst participants including a
      drop in binge drinking, reduced cannabis use, increased search for help
      and greater harm reduction knowledge. After using the films, young people
      are making their own videos as educational tools to pass on their
      learning.
    "
3947,"
    University of Salford
    ",Social Work and Social Policy,"
    Using Community-Based Research to Support Policies for Migrant
        and Nomadic Communities.
    ","
    University of Salford researchers have developed a community-based
      research method to
      capture the viewpoints of, and more valid and reliable data about, migrant
      and nomadic
      groups, who experience barriers to social inclusion, demonstrating the
      following impact:
    
      Supporting local authorities in fulfilling their statutory duties
        regarding the
        accommodation needs of Gypsies and Travellers;
      Addressing a broad range of social needs affecting various migrant
        communities,
        particularly those from Eastern Europe and the problems facing Roma
        communities in
        six European countries;
      ____Reducing exclusion, improving cohesion and improving life chances.
    
    "
4138,"
University of Liverpool
",Computer Science and Informatics,"
In My Shoes: A Software Tool for Professionals assisting Children and
Vulnerable Adults
","
This case describes social and health impact which arose as a result of interdisciplinary research at
the University of Liverpool and the University of Manchester on the use of computer tools for
communication with children and vulnerable adults. This research led to the development of the In
My Shoes (IMS) computer program which is now widely ____used for interviewing children (for example
in cases of child abuse) in local authorities across the UK. Since 2008, IMS has been used in the
UK by more than 750 practitioners including psychologists, child psychiatrists, other mental health
staff, health workers, educational workers, and specialists in forensic services. IMS is also used
internationally in Ireland, Belgium, Sweden, and Norway, where more than 100 practitioners are
already trained and are using the program in their day to day work.
"
4141,"
    University of Portsmouth
    ",Physics,"
    Impact of Galaxy Zoo and the Zooniverse on Public Engagement with
      Scientific Research
    ","
    Galaxy Zoo (GZ) is among the most successful online citizen science
      project ever undertaken, relying on hundreds of thousands of volunteers to
      classify galaxy images. Since 2007, GZ has evolved into a ""Zooniverse"" of
      over 20 online projects, engaging nearly a million worldwide volunteers
      (from a range of ages, backgrounds and education) in scientific research.
      Most GZ volunteers report being motivated by a desire to contribute to
      real research, while 87% say their experience has changed their behaviour
      e.g. more museum visits (34%). For under-18s, 70% were encouraged to study
      a degree and 47% said GZ helped their schoolwork.
    "
4231,"
    London School of Economics and Political Science
    ","Communication, Cultural and Media Studies, Library and Information Management ","
    Empowering children online through literacy and safety initiatives
    ","
    LSE research has helped shape children's internet literacy and safety
      policy. In the UK, the research informed the establishment of the UK
      Council for Child Internet Safety (UKCCIS) and the creation by the Council
      of the UK's first Child Internet Safety Strategy. Based on the research,
      the Council tasked industry to improve safety tools, and raised awareness
      among parents and teachers. This has enhanced children's online
      opportunities, digital literacy and ability to cope with online risks,
      thereby reducing the probability of harm. In Europe, the research ____informed
      the European Commission's Safer Internet Programme's work on industry
      guidance, safety tools and awareness campaigns, shifting the emphasis from
      protecting children to empowering them to use the internet safely and with
      confidence. Policy and practical initiatives around the world ____draw on the
      methodology and findings of the research.
    "
4246,"
    Oxford Brookes University
    ",Business and Management Studies,"
    The Duckworth/Lewis Method Professional Edition: operational
      research principles ensure a fairer outcome for interrupted limited-overs
      cricket matches
    ","
    The Duckworth/Lewis Method Professional Edition is the standard
      adopted globally by the International Cricket Council, for resetting the
      total run target for interrupted (such as rain affected) limited-overs
      cricket matches, enabling fairer match outcomes benefitting the teams,
      their fans and the games' regulatory bodies. The Professional Edition,
      applied universally in top-level cricket, is developed from research
      undertaken by Anthony Lewis, Oxford Brookes University, in collaboration
      with Frank Duckworth. The Professional Edition made advances over
      the original formula by improving the parameters where the total run
      target was above average. This refinement of the original D/L method led
      to the widespread publication, dissemination and endorsement of the D/L
      method Professional Edition and demonstrates the diverse
      applications of academic research.
    "
4326,"
    University of Portsmouth
    ",Physics,"
    High Impact Public Engagement in Cosmology
    ","
    The Institute of Cosmology and Gravitation (ICG) runs a successful
      programme of community engagements with local schools, science centres and
      tourist attractions to influence public awareness and understanding of the
      world-class research we perform. In 2012-13, ICG engaged with 4858 people,
      including 2412 school children. Through our ""Cosmology Masterclass"", we
      have inspired hundreds of A-level students from across the region; 60%
      said we had increased their interest in university. In 2012-13, staff
      engaged with 50 different schools across the UK. For the last 3 years, we
      have interacted with thousands of people running BBC Stargazing Live
      partner events, receiving almost unanimous praise from the public via our
      feedback.
    "
4421,"
    University of Liverpool
    ","Architecture, Built Environment and Planning","
    The impact of lighting research into provision of user control and
      alternative daylight sources
    ","
    The Lighting Group has been involved in the formulation of national and
      international design guidance, with impacts on the practices of the UK and
      international lighting industry.
    This guidance offers designers the tools to create optimum visual
      conditions in energy efficient buildings while reducing electric lighting
      usage. This involves three areas:
    
      The development of lighting design in interiors to take account of
        room contents;
      Involvement of the occupant in the control of light levels and
        electricity usage; and
      The replacement of electric lighting with guided daylight systems.
    
    The main impact of the work is its influence on the body of professional
      practice relating to interior lighting design. This guidance advocates the
      creation of user friendly visual conditions, low electricity usage and
      natural light in areas remote from windows.
    "
4424,"
    University of Liverpool
    ","Architecture, Built Environment and Planning","
    Architecture and the Moving Image: City, Culture and Identity
    ","
    Interdisciplinary research by the Centre for Architecture and the Visual
      Arts (CAVA), based in the School of Architecture, is on the role of the
      moving image in the culture and identity of cities. By examining historic
      film, current trends and future developments in city branding and digital
      imaging, a new field of research has developed with three types of
      beneficiary: (1) institutions (museums and galleries); (2) municipal
        authorities (planning/urban development departments); (3) inhabitants
      of and visitors to cities. Liverpool's European Capital of Culture
      programme (2008) formed the basis of the research, which has spread
      nationally (London/Battersea) and internationally (China).
    "
4442,"
    University of Liverpool
    ",Law,"
    Integrating Children's Rights into the EU Legal and Policy Agenda
    ","
    Work carried out by Stalford and Drywood at the Liverpool Law School
      between 2008 and
      2012 has been at the forefront of EU action in the field of children's
      rights. It has ____provided the
      blue-print for a coherent approach to the development, monitoring and
      evaluation of
      children's rights at European level. In doing so, it has directly
      ____influenced the way in which
      laws and policies are formulated by the European institutions, towards
      more explicit,
      meaningful engagement with children.
    In addition to the longer term benefits for children of more responsive
      laws and policies at EU level,
      the research cited in this case study has reached a wide range of
      beneficiaries, encompassing the
      EU institutions and agencies, the international legal community and the
      NGO sector. In particular,
      the authors' comprehensive development of a detailed set of EU children's
      rights indicators and
      child rights mainstreaming methodology ____have been endorsed by the European
      institutions and
      NGO sector as mechanisms central to monitoring the compatibility of
      European measures with
      international children's rights obligations. The extent to which these
      processes enhance the EU's
      legal and policy responses to specific children's rights issues is already
      evident in the development
      of EU child protection measures and in negotiations with States wishing to
      join the EU.
    "
4556,"
    Middlesex University
    ","Music, Drama, Dance and Performing Arts","
    Rosemary Lee: Bringing Change Through Mindful Community Practice
    ","
    Through community arts practice based on the principles of mindfulness,
      choreographer Rosemary
      Lee works with inclusive, therapeutic and inter-generational groups, as
      well as artists and dancers,
      using unique elements: close attention through touch and mindful
      listening. Her work has evolved
      over two decades of practice, research and collaborations, and shows
      impact and reach through
      bringing transformation to community participants, artists, health
      professionals and professional
      arts practice. She moves away from the role of choreographer as director
      with a set agenda, and
      empowers participants to embody issues that are important to them, setting
      a model for community
      life. The performance works Common Dance (2009) and Square
          Dances (2011) have led to a
      DVD and symposium that develop a practice-as-research methodology for
      dance practitioners and
      researchers, and to workshops for artists and practitioners around the
      world.
    "
